block,trial,trials_colorind,trials_colorrgb0,trials_colorrgb1,trials_colorrgb2,wm_respdeg,wm_respdeg_in_colorspace,wm_respcolorminusorigcolor,wm_resptexind,wm_resptexrgb0,wm_resptexrgb1,wm_resptexrgb2,wm_rts,time_blockstart,time_encarray_offset,time_encarray_onset,time_iti_offset,time_iti_onset,time_memprobe_offset,time_memprobe_onset
2,19,220,0.861731547614,0.0893272636146,0.581247684387,-57.0190024545,147.019002455,-7.66849754546,209.0,0.967301840512,0.0304835193525,0.52804999659,0.955165074207,212.544607704,288.713056987,289.521473792,291.496763009,292.496323959,290.529940318,291.488396837
2,20,98,1.0,-0.263822910468,-0.480217789416,-32.8686789334,122.868678933,53.9624289334,175.0,1.0,-0.155629953633,0.290361762956,1.66656992398,212.544607704,292.513558073,293.321967466,296.013973745,297.013462566,294.330432566,296.005717621
2,21,390,-0.0641960347588,0.476284203309,-0.291947553613,178.518542829,271.481457171,-2.73729282911,386.0,-0.0833946583454,0.477495592553,-0.245424736514,1.34933364298,212.544607704,297.030797319,297.83921726,300.2145489,301.214608485,298.847682646,300.206201544
2,22,7,0.9030914636,0.181853060355,-1.0,92.4082164411,357.591783559,-7.33009144113,509.0,0.822386376617,0.224555004187,-1.0,2.78855124535,212.544607704,301.231340543,302.03976134,305.848577281,306.847824339,303.04822758,305.840266132
2,23,49,1.0,-0.027785429985,-1.0,58.3245312619,31.6754687381,-2.77765626189,45.0,1.0,-0.0063957592436,-1.0,1.00241990341,212.544607704,306.865419956,307.673839612,309.69907697,310.69894383,308.682314121,309.690749286
2,24,456,0.383612429175,0.392633185378,-1.0,151.959847022,298.040152978,-22.5848470221,424.0,0.142174562463,0.448819569244,-0.770229420881,1.10387424054,212.544607704,310.71591765,311.524324762,313.649579567,314.649088345,312.532788437,313.641260152
2,25,151,1.0,-0.262720288689,0.0734626651272,-32.0619436828,122.061943683,15.8900686828,174.0,1.0,-0.160790688716,0.281981279739,1.13727734657,212.544607704,314.66641369,315.474839333,317.633470161,318.633240373,316.483298447,317.625180965
2,26,53,1.0,-0.049257555853,-1.0,91.8060252976,358.193974702,-39.0716502976,509.0,0.822386376617,0.224555004187,-1.0,1.07336771954,212.544607704,318.650257243,319.458702843,321.559051574,322.558391004,320.467154259,321.550616408
2,27,284,0.188465149253,0.353984098999,0.602236276499,-90.5256346065,180.525634606,-19.1618653935,257.0,0.470472903111,0.261039853404,0.655841377839,0.891803688835,212.544607704,322.575762535,323.384198726,325.301109483,326.300516482,324.392652423,325.292786362
2,28,510,0.830554458933,0.220436700166,-1.0,82.779278095,7.22072190496,8.62697190496,10.0,0.926811495151,0.168400576072,-1.0,0.837532051839,212.544607704,326.317933058,327.126345302,328.985013591,329.984656364,328.134816104,328.976575574
2,29,7,0.9030914636,0.181853060355,-1.0,83.7425657019,6.25743429815,1.33555929815,9.0,0.918933560847,0.172916688009,-1.0,0.881659937557,212.544607704,330.001736241,330.810162739,332.718724431,333.718787437,331.818647511,332.710396177
2,30,437,0.23613482661,0.429770237144,-1.0,150.751173663,299.248826337,-8.01679866345,426.0,0.156193047225,0.446210853967,-0.81485970128,1.25987618789,212.544607704,333.735542873,334.543970512,336.827581026,337.826925873,335.552437893,336.819254198
2,31,226,0.801265930663,0.120208988367,0.60458276857,133.492564241,316.507435759,157.601185759,450.0,0.335949728395,0.405598329481,-1.0,1.2548088734,212.544607704,337.844427979,338.652845069,340.928110508,341.928088556,339.661295059,340.919790522
